No,CPM,logFC,signif,CPM1
1,1472.248166,-0.90017689,FALSE,10.52380516
2,102.3672787,3.381014812,FALSE,6.677610827
3,102.3672785,3.381012871,FALSE,6.677610824
4,125.410442,3.724090247,FALSE,6.970513665
5,102.0065659,3.403956607,FALSE,6.672518207
6,147.0991316,-2.194675523,FALSE,7.20064492
7,591.6676695,0.991317495,FALSE,9.208643254
8,1028.303201,1.256276197,FALSE,10.00605
9,101.8121046,3.394591509,FALSE,6.669765285
10,103.8260406,-3.429237026,FALSE,6.69802452
11,289.2917412,-1.218124505,FALSE,8.176381327
12,247.6763457,1.669435547,FALSE,7.95231228
13,130.2900554,-2.537045943,FALSE,7.025583162
14,256.0154541,1.854301792,FALSE,8.000087089
15,243.5359795,1.597885365,FALSE,7.927991119
16,119.6884142,3.583529044,FALSE,6.903139696
17,114.0587108,-3.28690009,FALSE,6.833632822
18,3100.288549,1.018670432,FALSE,11.59818678
19,103.4135364,-3.388362669,FALSE,6.69228123
20,373.4917989,-1.408396364,FALSE,8.544932755
21,358.331318,-1.255934716,FALSE,8.48515033
22,189.416134,-1.789502236,FALSE,7.565415411
23,330.1723344,-1.99633786,FALSE,8.36707543
24,1154.635816,-0.763703689,FALSE,10.17322217
25,171.7663943,-2.265425424,FALSE,7.424303994
26,125.5764451,2.455394319,FALSE,6.972422067
27,254.7461277,-1.583343841,FALSE,7.992916407
28,238.5448504,1.902243178,FALSE,7.898116732
29,400.8469246,-1.423845006,FALSE,8.646907595
30,125.2168492,2.454863986,FALSE,6.968284894
31,294.259272,1.36572659,FALSE,8.200944065
32,137.1815075,2.33710849,FALSE,7.099942204
33,737.31489,1.463478405,FALSE,9.526137082
34,100.6191932,3.302119622,FALSE,6.652761717
35,100.0471526,3.348055079,FALSE,6.644536298
36,376.1319981,1.303460584,FALSE,8.555095233
37,100.5866117,3.300628207,FALSE,6.652294481
38,1422.04859,0.90721437,FALSE,10.47375505
39,102.3672763,-3.30499339,FALSE,6.677610793
40,102.3672766,-3.304996431,FALSE,6.677610798
41,314.7503594,1.719591407,FALSE,8.298064215
42,364.3802043,-1.161159232,FALSE,8.509300774
43,132.6933943,-2.480460816,FALSE,7.051952742
44,111.1475247,3.170568154,FALSE,6.796332009
45,133.900723,2.195270269,FALSE,7.06501994
46,130.4270034,2.564216834,FALSE,7.027098784
47,99.86946174,3.283109075,FALSE,6.641971691
48,233.709238,2.268810162,FALSE,7.868570951
49,121.5816733,3.666421882,FALSE,6.925781969
50,222.3112644,2.185578089,FALSE,7.796437241
51,99.68204118,3.283539277,FALSE,6.639261705
52,1427.033546,1.419491936,FALSE,10.47880353
53,169.5423943,-1.794203272,FALSE,7.405502256
54,374.1985723,-1.520670856,FALSE,8.547660244
55,450.7947489,1.247773056,FALSE,8.8163269
56,112.131586,-3.18559595,FALSE,6.809048914
57,1627.378804,-0.839580473,FALSE,10.66833439
58,214.760403,1.838799866,FALSE,7.746584207
59,174.5935389,1.915934403,FALSE,7.447856361
60,99.52374188,3.208014548,FALSE,6.636968824
61,519.8828675,-0.948001991,FALSE,9.022042802
62,232.3744249,1.492087606,FALSE,7.860307484
63,187.8942487,1.919269532,FALSE,7.553777097
64,690.9074985,-0.98692452,FALSE,9.432348759
65,154.5860365,-1.966262326,FALSE,7.272266199
66,136.2189563,-2.132985413,FALSE,7.089783673
67,207.1681336,1.720870973,FALSE,7.694658296
68,158.4149319,-1.915710984,FALSE,7.307564517
69,197.0738447,1.833214558,FALSE,7.622592507
70,1777.105122,-0.660921613,FALSE,10.79531331
71,139.9263737,2.114203192,FALSE,7.128524101
72,110.3794462,-3.094559592,FALSE,6.786327743
73,303.8444425,1.190949811,FALSE,8.247189094
74,233.0518493,-1.925449392,FALSE,7.864507151
75,136.3553213,-2.701134611,FALSE,7.091227193
76,100.4552768,-3.216782257,FALSE,6.650409538
77,100.3953733,-3.213752088,FALSE,6.649548975
78,109.9219608,-3.079591313,FALSE,6.780335835
79,129.0573821,-2.383944691,FALSE,7.011868855
80,110.5836707,3.269401231,FALSE,6.788994556
81,110.2453849,-3.063050863,FALSE,6.784574453
82,109.5406799,-3.105312101,FALSE,6.77532293
83,100.0283377,-3.214466133,FALSE,6.644264958
84,146.0011263,2.518814544,FALSE,7.189835688
85,100.0090427,-3.213659579,FALSE,6.643986643
86,109.9901708,-3.07824954,FALSE,6.781230794
87,233.3488243,1.496492295,FALSE,7.866344388
88,200.157557,-1.511285135,FALSE,7.644992276
89,154.1517508,-1.878564539,FALSE,7.268207465
90,99.69510163,-3.213110823,FALSE,6.639450717
91,157.9939762,-2.026543705,FALSE,7.303725744
92,125.1731379,-2.32793378,FALSE,6.967781183
93,2549.618168,-0.696198791,FALSE,11.31606549
94,191.7420879,-1.594969616,FALSE,7.583023237
95,1303.81554,-0.615049872,FALSE,10.34852406
96,109.9270747,-3.078211875,FALSE,6.780402952
97,282.7008622,-1.426322647,FALSE,8.143132473
98,106.7305929,3.02026022,FALSE,6.737829955
99,1198.450734,0.814915773,FALSE,10.22695489
100,546.3578201,-1.150509083,FALSE,9.093702299
101,99.52374176,-3.133052425,FALSE,6.636968822
102,99.52374175,-3.133052414,FALSE,6.636968822
