ID,Group1,Group2,p,padj,log2
OTU1556,0.00690842,0.007075699,0.952331472,0.952331472,0.034516956
OTU283,0.035682111,0.036476818,0.955075794,0.955075794,0.03177891
OTU2535,0.004557723,0.004709275,0.958338352,0.958338352,0.047191739
OTU5291,0.032572211,0.031870668,0.95866833,0.95866833,-0.031412384
OTU45,0.468331965,0.461895334,0.960820746,0.960820746,-0.019965537
OTU126,0.065519686,0.066987057,0.963062268,0.963062268,0.031953918
OTU2771,0.064796977,0.063904944,0.975468823,0.975468823,-0.019998959
OTU100,0.018868306,0.019150984,0.978914086,0.978914086,0.021453586
OTU804,0.006827529,0.00669399,0.980509168,0.980509168,-0.028496974
OTU2902,0.309285082,0.307251954,0.981265279,0.981265279,-0.009515066
OTU175,0.034088548,0.033838983,0.98658561,0.98658561,-0.010600965
OTU56,0.409670716,0.411333544,0.988334333,0.988334333,0.005843958
OTU461,0.010722629,0.01064957,0.989013188,0.989013188,-0.009863446
OTU4390,0.002107015,0.002093517,0.991945985,0.991945985,-0.009272085
OTU901,0.012566122,0.012656309,0.991979447,0.991979447,0.010317185
OTU524,0.004500472,0.004515386,0.994123336,0.994123336,0.004773045
OTU973,0.353657608,0.352982658,0.996363798,0.996363798,-0.002755994
